City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Isangel,VU,2022-01-06 21:14:37,few clouds,-19.55,169.2667,86.11,74,20,4.61
232,Kathu,TH,2022-01-06 21:14:37,scattered clouds,7.9178,98.3332,75.02,81,43,9.95
233,Abha,SA,2022-01-06 21:14:38,clear sky,18.2164,42.5053,52.05,82,0,6.91
234,Alugan,PH,2022-01-06 21:14:38,overcast clouds,12.2188,125.4808,77.58,86,97,11.43
235,Esil,KZ,2022-01-06 21:14:39,overcast clouds,51.9556,66.4042,26.38,95,99,12.39
236,Duldurga,RU,2022-01-06 21:14:39,overcast clouds,50.6761,113.5931,0.28,94,100,3.0
237,Narasannapeta,IN,2022-01-06 21:14:39,scattered clouds,18.4167,84.05,66.97,81,31,5.35
238,Kutum,SD,2022-01-06 21:14:40,few clouds,14.2,24.6667,64.81,26,12,5.37
239,Pauini,BR,2022-01-06 21:14:40,overcast clouds,-7.7136,-66.9764,81.72,72,98,4.38
240,Belmonte,BR,2022-01-06 21:14:41,overcast clouds,-15.8631,-38.8828,81.1,77,100,9.73
241,Sinnamary,GF,2022-01-06 21:14:41,overcast clouds,5.3833,-52.95,76.89,90,100,10.98
242,Astoria,US,2022-01-06 21:10:32,moderate rain,46.1879,-123.8313,52.02,97,100,15.01
243,Tiksi,RU,2022-01-06 21:14:42,overcast clouds,71.6872,128.8694,-10.84,82,97,11.48
244,Anadyr,RU,2022-01-06 21:14:42,scattered clouds,64.75,177.4833,-1.64,97,37,1.72
245,Hofn,IS,2022-01-06 21:14:42,overcast clouds,64.2539,-15.2082,40.59,73,99,11.45
246,Santa Cruz,BO,2022-01-06 21:14:43,scattered clouds,-17.8,-63.1667,93.25,46,40,4.61
247,Haines Junction,CA,2022-01-06 21:14:43,overcast clouds,60.7522,-137.5108,-20.76,97,100,0.87
248,Ponta Do Sol,PT,2022-01-06 21:14:43,scattered clouds,32.6667,-17.1,64.0,72,33,5.55
249,Atambua,ID,2022-01-06 21:14:44,moderate rain,-9.1061,124.8925,74.17,90,100,2.04
250,Komsomolskiy,UZ,2022-01-06 21:14:44,mist,40.4272,71.7189,39.92,87,100,4.61
251,Meulaboh,ID,2022-01-06 21:14:45,overcast clouds,4.1363,96.1285,76.23,90,100,5.19
252,Taian,CN,2022-01-06 21:14:45,few clouds,36.1853,117.12,31.95,70,12,0.63
253,Kattivakkam,IN,2022-01-06 21:14:45,broken clouds,13.2167,80.3167,78.08,85,80,6.85
254,Northam,GB,2022-01-06 21:14:46,overcast clouds,51.0333,-4.2167,44.56,84,94,24.65
